State,PCA0,PCA1,PCA2,PCA3
Alabama,-0.9855668682387773,1.1333927865973692,-0.4442688141731921,0.1562671227662893
Alaska,-1.9501391222122777,1.0732131358666948,2.0400042452666867,-0.438583206180013
Arizona,-1.7631639440638764,-0.7459564618719696,0.054780983247706416,-0.8346529456052281
Arkansas,0.14142001474166221,1.119797310291446,0.11457409890476278,-0.18281092160627388
California,-2.5239806281822155,-1.5429343001930818,0.5985566379276719,-0.34199657348737666
Colorado,-1.5145631453452495,-0.9875552931345482,1.0950067828819954,0.0014647963598325014
Connecticut,1.3586480286873552,-1.0889279948778352,-0.6432575797467877,-0.1184695126943609
Delaware,-0.04770927212044551,-0.32535868491268616,-0.718632636952492,-0.8819776862498472
Florida,-3.0130430146306253,0.03922853967225981,-0.57682943052356,-0.09628502304812869
Georgia,-1.6392839547239362,1.278942426419448,-0.34246033125370445,1.0767964980494185
Hawaii,0.912657714890841,-1.5704603832089532,0.05078167369651165,0.9028068522487516
Idaho,1.639800527208763,0.21097315890231627,0.259801393035044,-0.499104131188016
Illinois,-1.3789110117012342,-0.6818413612842065,-0.6774956097308404,-0.12202149446475197
Indiana,0.5054615715567863,-0.15156262039382895,0.22805471829277835,0.42466563350562225
Iowa,2.2536469463306616,-0.10405413807496089,0.16456432594379677,0.01755582677139944
Kansas,0.7968813423225924,-0.27016476721098925,0.025553239429465524,0.20649637284413025
Kentucky,0.7508593470678164,0.9584404592887097,-0.02836958662082445,0.6705566314812366
Louisiana,-1.5648186952158767,0.8710547085131637,-0.7834802916010375,0.4547278678043334
Maine,2.3968302853148202,0.37639185434601785,-0.06568227076621636,-0.33045991133981545
Maryland,-1.763370042048507,0.4276555373103008,-0.15725008710312238,-0.5590696223005978
Massachusetts,0.4861666848732895,-1.4744967302137724,-0.6094974732017988,-0.17959906520970836
Michigan,-2.1084419553764917,-0.15539676851673256,0.38486836050175555,0.10237195632258711
Minnesota,1.6926825818303826,-0.6322614543958238,0.15307039621575314,0.06731671334916589
Mississippi,-0.9964956204278081,2.3937969563509967,-0.7408084481112809,0.21550804426296466
Missouri,-0.6967875827031946,-0.2633549215942601,0.377443873985186,0.22582440173114016
Montana,1.185452292967895,0.5368745045341257,0.24688923368088922,0.12374220743481423
Nebraska,1.265637020460062,-0.19395369446358934,0.17557386743112247,0.015892862712776012
Nevada,-2.8743951588315895,-0.7756003551951665,1.1633805385436347,0.31451536476369135
New Hampshire,2.3839161391345556,-0.018082295673375937,0.03685543706100969,-0.03313737685972429
New Jersey,-0.18156601872408373,-1.449506296038365,-0.7644537668849694,0.24338259391243255
New Mexico,-1.9800241596857404,0.1428489416162293,0.18369217974077756,-0.3395337169343424
New York,-1.6825779726692645,-0.8231843126128453,-0.6430751811093671,-0.013484466808616369
North Carolina,-1.1233792970622716,2.228004370895235,-0.8635714137486161,-0.9543818162391204
North Dakota,2.9922264544213135,0.599119185416221,0.3012774055132539,-0.2539872434246053
Ohio,0.22596561462641773,-0.7422385270565925,-0.031139366791996803,0.47391583151562955
Oklahoma,0.311783002527644,-0.28785424349476685,-0.015309810363208776,0.010332233139500546
Oregon,-0.05912185467788422,-0.5414114489981259,0.9398328566059178,-0.23778073284503165
Pennsylvania,0.8884161446953982,-0.57110047014082,-0.4006288862975538,0.3590610710283322
Rhode Island,0.8637723349550726,-1.4919786499758203,-1.369945642690169,-0.6135695438356805
South Carolina,-1.3207245060516755,1.9334053528498316,-0.300537744119147,-0.13146677774139004
South Dakota,1.9877755679450502,0.823343648932557,0.3892933992630887,-0.10957185266111491
Tennessee,-0.9997421615069584,0.8602514439703981,0.18808278674828927,0.6528641882331847
Texas,-1.3551386380046182,-0.412481190074498,-0.4920690228017932,0.6431953031021784
Utah,0.5505656674540873,-1.4715049811581338,0.2937279957491512,-0.08231411415159506
Vermont,2.8014125768538634,1.4022882356101292,0.8412630977500868,-0.1448898439941937
Virginia,0.09633487753578152,0.19973533599549498,0.011712546394316847,0.21137076821116452
Washington,0.2169035675530111,-0.9701243190641975,0.6248710546650216,-0.22084787550681462
West Virginia,2.108585825708758,1.4248471136855159,0.10477461571145597,0.1319087268120338
Wisconsin,2.07971501599863,-0.611268789447287,-0.13886500913024236,0.18410369421726713
Wyoming,0.6294268127804656,0.32101320609865525,-0.24065917825531358,-0.16665184537975364
